Source,Titre,Type d'offre,Type de bien,Quartier,Prix,Piece,Surface,Valeur par piece,Valeur par m2,source,date_annonce,annee,trimestre,periode
FACEBOOK MARKETPLACE,"#TERRAIN A VENDRE À #KPESSI 
Un terrain mis en vente à kpessi au bord du lac sur la voie de Lomé Ane",VENTE,TERRAIN,VO,7000000,,350,,20000,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,Terrain à Avedji Lomé,VENTE,TERRAIN,AVEDJI,12000000,,700,,17143,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,TERRAIN À VENDRE DJAGBLÉ - LÉBÉ,VENTE,TERRAIN,BE,9000000,,350,,25714,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,Terrain ½ lot clôturé à vendre à Lomé quartier avédji wessomé 00228 91 68 75 87,VENTE,TERRAIN,AVEDJI,1600000,,300,,5333,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,À VENDRE 1 LOT DE TERRAIN AU BORD DU GOUDRON DE LOMÉ KPALIMÉ À ZANGUÉRA,VENTE,TERRAIN,KPALIME,40000000,,350,,114286,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,Terrain ¼ de lot à vendre à Lomé quartier djidjolé 00228 91 68 75 87,VENTE,TERRAIN,DJIDJOLE,1600000,,150,,10667,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,À VENDRE 1/2 LOT DE TERRAIN À AGOÈ LÉGBASSITO,VENTE,TERRAIN,AGOE,16000000,,175,,91429,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,"😁😁LOCATION EN *CENTRE VILLE DE LOMÉ* 
lckim🆘
 *PRODUIT DIRECT¹AA* 


*VILLA TRIPLEX DE 10 CHAMBRE",LOCATION,VILLA,CENTRE VILLE,600000,10.0,110,60000.0,5455,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,Studio meublé à louer à Lomé,LOCATION,APPARTEMENT,LOME,15000,1.0,12,15000.0,1250,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,☎️🇹🇬 TÉL [hidden information] chambre salon meublé à Lomé totsi,LOCATION,VILLA,TOTSI,75000,2.0,21,37500.0,3571,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,☎️🇹🇬 TÉL [hidden information] studio meublé à Lomé totsi,LOCATION,VILLA,TOTSI,40000,1.0,15,40000.0,2667,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,Appartement / condominium de 1 chambre et 1 salle de bain 1 bed · 1 bath,LOCATION,APPARTEMENT,BE,20000,1.0,15,20000.0,1333,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,☎️🇹🇬 TÉL[hidden information] Appartement meublé Lomé totsi,LOCATION,APPARTEMENT,TOTSI,15000,2.0,15,7500.0,1000,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,Pièce meublée en ville de Lomé.,LOCATION,APPARTEMENT,LOME,10000,1.0,20,10000.0,500,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,☎️🇹🇬 TÉL [hidden information] Appartement meublé Lomé tokoin pharmacie gbonssime,LOCATION,APPARTEMENT,TOKOIN,15000,2.0,24,7500.0,625,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,☎️🇹🇬 TÉL[hidden information] Appartement meublé à Lomé avedji,LOCATION,APPARTEMENT,AVEDJI,20000,1.0,12,20000.0,1667,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,Location des appartements à Lomé baguida.,LOCATION,APPARTEMENT,BAGUIDA,350000,2.0,60,175000.0,5833,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,Location maison meublee ,LOCATION,VILLA,LOME,30000,1.0,20,30000.0,1500,facebook,,2026,2,2026-Q2
FACEBOOK MARKETPLACE,Location appartement ,LOCATION,APPARTEMENT,LOME,35000,1.0,20,35000.0,1750,facebook,,2026,2,2026-Q2
