titre,type_offre,type_bien,zone,prix,pieces,surface_m2,Valeur par piece,Valeur par m2,source,raison_rejet
Terrain 1 ha - Tsévié,VENTE,Terrain,tsevie,8000000,,10000.0,,800.0,coinafrique,prix_m2_trop_bas
Terrain 1/4 lot - contournement après péage,VENTE,Terrain,contournement apres peage,7000000,,150.0,,46667.0,coinafrique,zone_description_lieu
Terrain 20 lots collés à Adétikopé,VENTE,Terrain,adetikope,6500000,,12000.0,,542.0,coinafrique,prix_m2_trop_bas
Terrains 12 lots face à la grande voie Badja Agoudja,VENTE,Terrain,badja agoudja,6000000,,7200.0,,833.0,coinafrique,prix_m2_trop_bas
Terrain 20 lots collés à Adétikopé,VENTE,Terrain,adetikope,5500000,,12000.0,,458.0,coinafrique,prix_m2_trop_bas
Terrain 1/2 lot - Pharmacie de Davié,VENTE,Terrain,pharmacie de davie,5500000,,300.0,,18333.0,coinafrique,zone_description_lieu
Terrain 27 lots collés - Tsevie,VENTE,Terrain,tsevie,5000000,,16200.0,,309.0,coinafrique,prix_m2_trop_bas
Terrain à Djagble klobateme non loin du goudron,VENTE,Terrain,djagble klobateme non loin du goudron,5000000,,600.0,,8333.0,coinafrique,zone_trop_longue
Terrain 10lots collés à Davié Tékpo,VENTE,Terrain,davie tekpo,5000000,,6000.0,,833.0,coinafrique,prix_m2_trop_bas
Terrain à Togo ville coté lac pas loin du goudron,VENTE,Terrain,togo ville cote lac pas loin du goudron,5000000,,600.0,,8333.0,coinafrique,zone_trop_longue
Terrain 30 lots collés - Tsevie,VENTE,Terrain,tsevie,4000000,,18000.0,,222.0,coinafrique,prix_m2_trop_bas
Terrain 36 hectares à Dalave,VENTE,Terrain,dalave,4000000,,360000.0,,11.0,coinafrique,prix_m2_trop_bas
Terrain agricole 18 lots - Noépé,VENTE,Terrain,noepe,4000000,,10800.0,,370.0,coinafrique,prix_m2_trop_bas
Terrain agricole 85 ha à Amoussoukopé,VENTE,Terrain,amoussoukope,3500000,,10000.0,,350.0,coinafrique,prix_m2_trop_bas
Terrain 70 lots collés - Tsevie,VENTE,Terrain,tsevie,3000000,,42000.0,,71.0,coinafrique,prix_m2_trop_bas
Terrain agricole 1 ha - Badja,VENTE,Terrain,badja,3000000,,10000.0,,300.0,coinafrique,prix_m2_trop_bas
Terrain 30 lots à Davié vli,VENTE,Terrain,davie vli,2500000,,18000.0,,139.0,coinafrique,prix_m2_trop_bas
Terrain 97 hectares à Agbelouve,VENTE,Terrain,agbelouve,2500000,,10000.0,,250.0,coinafrique,prix_m2_trop_bas
Vente terrains agricoles 60000 m² - Kpalimé,VENTE,Terrain,kpalime,2000000,,60000.0,,33.0,coinafrique,prix_m2_trop_bas
Tzrrain 16 ha à kdpele adeta,VENTE,Terrain,kpele adeta,2000000,,160000.0,,12.0,coinafrique,prix_m2_trop_bas
Terrain 1ha à Assahoun,VENTE,Terrain,assahoun,2000000,,10000.0,,200.0,coinafrique,prix_m2_trop_bas
Terrain 1 /4 lot à Kpemé,VENTE,Terrain,kpeme,1700000,,2400.0,,708.0,coinafrique,prix_m2_trop_bas
Terrains 41 m² - Atakpamé,VENTE,Terrain,atakpame,1500000,,24600.0,,61.0,coinafrique,prix_m2_trop_bas
Terrain 91 ha a wahala,VENTE,Terrain,wahala,1500000,,910000.0,,2.0,coinafrique,prix_m2_trop_bas
Terrain TF 3 lots à Kpalimé agognongbo,VENTE,Terrain,kpalime agognongbo,1500000,,1800.0,,833.0,coinafrique,prix_m2_trop_bas
Terrain 13 lots collés à Adetikope GMK,VENTE,Terrain,adetikope gmk,1300000,,7800.0,,167.0,coinafrique,prix_m2_trop_bas
Terrain agricoles 50 ha à agbelouve,VENTE,Terrain,agbelouve,1200000,,10000.0,,120.0,coinafrique,prix_m2_trop_bas
Terrain agricole 90000m² - Grand Marché de Lomé,VENTE,Terrain,assigame,800000,,90000.0,,9.0,coinafrique,prix_m2_trop_bas
Terrain 2 lots - Kpalimé,VENTE,Terrain,kpalime,800000,,1200.0,,667.0,coinafrique,prix_m2_trop_bas
Terrain 5 lots - Adetikope,VENTE,Terrain,adetikope,500000,,3000.0,,167.0,coinafrique,prix_m2_trop_bas
Terrain agricole - Tohoun,VENTE,Terrain,tohoun,500000,,600.0,,833.0,coinafrique,prix_m2_trop_bas
Terrain agricole 154 ha - Hawala,VENTE,Terrain,hawala,450000,,10000.0,,45.0,coinafrique,prix_m2_trop_bas
Terrain agricole - Wahala,VENTE,Terrain,wahala,400000,,600.0,,667.0,coinafrique,prix_m2_trop_bas
Terrain face au goudron 1/2 lot au niveau 3 k,VENTE,Terrain,adewui,150000,,300.0,,500.0,coinafrique,prix_m2_trop_bas
Terrain - Vakpossitoa,VENTE,Terrain,vakpossitoa,60000,,600.0,,100.0,coinafrique,prix_m2_trop_bas
Terrain 1 lot - Agbalepedo,VENTE,Terrain,agbalepedo,60000,,600.0,,100.0,coinafrique,prix_m2_trop_bas
Vente hôtel R+5 à Adidoadin,VENTE,Villa,adidoadin,1830000000,,600.0,,3050000.0,coinafrique,prix_m2_trop_eleve
Vente villa 29 pièces à Cité Oua,VENTE,Villa,cite oua,1800000000,29.0,600.0,,3000000.0,coinafrique,prix_m2_trop_eleve
Vente villa duplex à Forever juste à côté de cité sidéal,VENTE,Villa,forever,1750000000,,600.0,,2916667.0,coinafrique,zone_description_lieu
Vente villa à Lomé Novissi au bord du goudron,VENTE,Villa,novissi,1500000000,,600.0,,2500000.0,coinafrique,prix_m2_trop_eleve
Vente villa - Kodjoviakop,VENTE,Villa,kodjoviakope,1500000000,,600.0,,2500000.0,coinafrique,prix_m2_trop_eleve
Vente villa - Kodjoviakope,VENTE,Villa,kodjoviakope,1500000000,,600.0,,2500000.0,coinafrique,prix_m2_trop_eleve
Vente villa R+1 à cité Oua,VENTE,Villa,cite oua,1500000000,,600.0,,2500000.0,coinafrique,prix_m2_trop_eleve
Vente villa 13 pièces - Tako,VENTE,Villa,super taco,1500000000,13.0,600.0,,2500000.0,coinafrique,prix_m2_trop_eleve
Vente villa à cité Oua,VENTE,Villa,cite oua,1250000000,,600.0,,2083333.0,coinafrique,prix_m2_trop_eleve
Vente villa 4 chambres salon à cité Oua,VENTE,Villa,cite oua,1250000000,4.0,600.0,,2083333.0,coinafrique,prix_m2_trop_eleve
Vente hôtel 32 chambres sur un lot 600m² sur la rue de lOCAM,VENTE,Villa,rue de locam,1250000000,32.0,600.0,,2083333.0,coinafrique,prix_m2_trop_eleve
Vente villa duplex de 4 chambres salon à Axuiti forever proche de la caisse,VENTE,Villa,axuiti forever proche de la caisse,500000000,4.0,600.0,,833333.0,coinafrique,zone_trop_longue
Vente villa - Pharmacie Yembla,VENTE,Villa,pharmacie yembla,500000000,,600.0,,833333.0,coinafrique,zone_description_lieu
Vente villa piscine de haut standing à Baguida côté plage,VENTE,Villa,baguida cote plage,400000000,,600.0,,666667.0,coinafrique,zone_description_lieu
Vente maison à raser à la caisse à la Résidence Caisse,VENTE,Villa,raser a la caisse a la residence caisse,350000000,,600.0,,583333.0,coinafrique,zone_trop_longue
Vente villa duplex 6pièces - Baguida côté plage,VENTE,Villa,baguida cote plage,280000000,6.0,600.0,,466667.0,coinafrique,zone_description_lieu
Vente 2 villas 5 pièces - forever wuiti Lomé togo 228,VENTE,Villa,forever,185000000,5.0,600.0,,308333.0,coinafrique,zone_description_lieu
Vente villa 7 pièces à Forever,VENTE,Villa,forever,185000000,7.0,600.0,,308333.0,coinafrique,zone_description_lieu
Vente villa 6 pièces à Forever,VENTE,Villa,forever,185000000,6.0,600.0,,308333.0,coinafrique,zone_description_lieu
Vente villa avec piscine à Forever,VENTE,Villa,forever,175000000,,600.0,,291667.0,coinafrique,zone_description_lieu
Vente villa duplex 5 pièces - Forever,VENTE,Villa,forever,175000000,5.0,600.0,,291667.0,coinafrique,zone_description_lieu
Vente villa duplex à Forever,VENTE,Villa,forever,170000000,,600.0,,283333.0,coinafrique,zone_description_lieu
Vente villa duplex 10 pièces - Forever,VENTE,Villa,forever,170000000,10.0,600.0,,283333.0,coinafrique,zone_description_lieu
Vente villa à Attiegou pharmacie raoudha,VENTE,Villa,attiegou pharmacie raoudha,170000000,,600.0,,283333.0,coinafrique,zone_description_lieu
4 chambres salon à Attiegou pharmacie roauda,VENTE,Villa,attiegou pharmacie roauda,170000000,4.0,600.0,,283333.0,coinafrique,zone_description_lieu
Vente villa 10 pièces à Forever,VENTE,Villa,forever,135000000,10.0,600.0,,225000.0,coinafrique,zone_description_lieu
"Vente villa 4 pièces à zanguera akepedo, avant le nouveau péage à 800m du goudron lomé - kpalimé, villa composée de : __ rez: une très g",VENTE,Villa,kpalime villa composee de __ rez une tres g,70000000,4.0,600.0,,116667.0,coinafrique,zone_trop_longue
Vente villa 5 pièces - Pharmacie Ave Maria,VENTE,Villa,pharmacie ave maria,65000000,5.0,600.0,,108333.0,coinafrique,zone_description_lieu
Vente villa 4 pièces à Forever,VENTE,Villa,forever,60000000,4.0,600.0,,100000.0,coinafrique,zone_description_lieu
Vente villa inachevée - Avepozo à 800m du goudron,VENTE,Villa,avepozo a 800m du goudron,45000000,,600.0,,75000.0,coinafrique,zone_description_lieu
Vente villa 3 chambres salon - Legbassito pharmacie m'ba Senoukopé,VENTE,Villa,legbassito pharmacie m ba senoukope,30000000,3.0,600.0,,50000.0,coinafrique,zone_trop_longue
Vente maison de location sur demi lot composée de chambres salon - Entreprise de l'union 500m du goudron,VENTE,Villa,entreprise de l union 500m du goudron,26000000,,300.0,,86667.0,coinafrique,zone_trop_longue
Vente villa 2 pièces - Atilamonou non loin du bar one day,VENTE,Villa,atilamonou non loin du bar one day,9000000,2.0,600.0,,15000.0,coinafrique,zone_trop_longue
"Vente maison - Kpala juste après la ""cité kpala""",VENTE,Villa,kpala juste apres la,5000000,,600.0,,8333.0,coinafrique,zone_description_lieu
Terrain agricole 11H - Kpalimé village,VENTE,Villa,kpalime village,3500000,,6600.0,,530.0,coinafrique,prix_m2_trop_bas
Vente villa 4pièces - Forever,VENTE,Villa,forever,1100000,4.0,600.0,,1833.0,coinafrique,zone_description_lieu
Vente villa 5 pièces - Togo,VENTE,Villa,togo 2000,400000,5.0,600.0,,667.0,coinafrique,prix_m2_trop_bas
Vente villa 3 pièces à Atiomé carrefour Kponse,VENTE,Villa,atiome,150000,3.0,600.0,,250.0,coinafrique,prix_m2_trop_bas
Villa Lomé,LOCATION,Appartement,nan,500,3.0,120.0,,,immoask_scraped,zone_invalide
,LOCATION,Commerce,kpomé,5003,0.0,10.0,,,immoask_scraped,prix_m2_trop_bas
,LOCATION,Commerce,kpomé,5003,0.0,10.0,,,immoask_scraped,prix_m2_trop_bas
,LOCATION,Commerce,kpomé,5003,0.0,10.0,,,immoask_scraped,prix_m2_trop_bas
,BAILLER,Terrain,ablogame,400000,0.0,600.0,,,immoask_scraped,prix_m2_trop_bas
,LOCATION,Villa,agoe,90000,3.0,900.0,,,immoask_scraped,prix_m2_trop_bas
"terrain,vendre,lome,agbelouve",VENTE,Terrain,agbelouve,2800000,0.0,10000.0,,,immoask_scraped,prix_m2_trop_bas
"chambre,louer,lome,totsi egblinkome",LOCATION,Chambre,totsi,0,0.0,10.0,,,immoask_scraped,prix_m2_trop_bas
"villa,vendre,lome,forever",VENTE,Villa,tokoin,250000000,5.0,10.0,,,immoask_scraped,prix_m2_trop_eleve
"2 chambres salon,louer,lome,tokoin ",LOCATION,Maison,tokoin,35000,0.0,80.0,,,immoask_scraped,prix_m2_trop_bas
"maison,vendre,lome,agoe ",VENTE,Maison,agoe,35000000,3.0,10.0,,,immoask_scraped,prix_m2_trop_eleve
"terrain,vendre,kpalime,avetonou",VENTE,Terrain,avetonou,550000,0.0,10000.0,,,immoask_scraped,prix_m2_trop_bas
"terrain,vendre,kpalime,avetonou",VENTE,Terrain,avetonou,550000,0.0,10000.0,,,immoask_scraped,prix_m2_trop_bas
"terrain,vendre,kpalime,avetonou",VENTE,Terrain,avetonou,550000,0.0,10000.0,,,immoask_scraped,prix_m2_trop_bas
"terrain,vendre,kpalime,avetonou",VENTE,Terrain,avetonou,550000,0.0,10000.0,,,immoask_scraped,prix_m2_trop_bas
"terrain,vendre,kpalime,avetonou",VENTE,Terrain,avetonou,550000,0.0,10000.0,,,immoask_scraped,prix_m2_trop_bas
"terrain,vendre,kpalime,avetonou",VENTE,Terrain,avetonou,550000,0.0,10000.0,,,immoask_scraped,prix_m2_trop_bas
"appartement meublé,louer,lome,be gbenyedzi ",LOCATION,Appartement,bè,0,2.0,100.0,,,immoask_scraped,prix_m2_trop_bas
"villa,louer,lome,sagbado",LOCATION,Villa,sagbado,100000,4.0,300.0,,,immoask_scraped,prix_m2_trop_bas
"boutique,louer,akepe,noepe ",LOCATION,Boutique,noepe,60000,1.0,80.0,,,immoask_scraped,prix_m2_trop_bas
"villa,louer,lome,avepozo ",LOCATION,Villa,avepozo,250000,3.0,300.0,,,immoask_scraped,prix_m2_trop_bas
"terrain,vendre,lome,agbalepedo",LOCATION,Terrain,agbalépédo,0,0.0,345.0,,,immoask_scraped,prix_m2_trop_bas
"villa,louer,lome,adidogome",LOCATION,Villa,adidogome,150000,3.0,200.0,,,immoask_scraped,prix_m2_trop_bas
"villa,louer,lome,apedokoe",LOCATION,Villa,adidogome,500000,0.0,600.0,,,immoask_scraped,prix_m2_trop_bas
"villa,louer,lome,adidogome",LOCATION,Villa,adidogome,110000,0.0,150.0,,,immoask_scraped,prix_m2_trop_bas
"terrain,vendre,lome,agoe",LOCATION,Terrain,agoe,0,0.0,600.0,,,immoask_scraped,prix_m2_trop_bas
"villa meublée,louer,lome,agbavi",LOCATION,Villa,agbavi,500000,2.0,600.0,,,immoask_scraped,prix_m2_trop_bas
"villa,louer,lome,avepozo",LOCATION,Villa,avepozo,550000,0.0,600.0,,,immoask_scraped,prix_m2_trop_bas
"appartement meublé,louer,lome,super taco",LOCATION,Appartement,super taco,200000,0.0,300.0,,,immoask_scraped,prix_m2_trop_bas
"appartement meublé,louer,lome,super taco",LOCATION,Appartement,super taco,200000,0.0,300.0,,,immoask_scraped,prix_m2_trop_bas
"villa meublée,louer,lome,gbossime ",LOCATION,Villa,gbossime,250000,0.0,300.0,,,immoask_scraped,prix_m2_trop_bas
"terrain,vendre,lome,agoe",LOCATION,Terrain,agoe,0,0.0,1200.0,,,immoask_scraped,prix_m2_trop_bas
"villa,louer,lome,avepozo",LOCATION,Appartement,avepozo,250000,0.0,1200.0,,,immoask_scraped,prix_m2_trop_bas
"villa,louer,lome,avepozo",LOCATION,Villa,avepozo,250000,6.0,1200.0,,,immoask_scraped,prix_m2_trop_bas
"terrain,vendre,kpalime,kpime",VENTE,Terrain,kpime,700000,0.0,490000.0,,,immoask_scraped,prix_m2_trop_bas
"villa,louer,lome,baguida",LOCATION,Villa,baguida,150000,3.0,300.0,,,immoask_scraped,prix_m2_trop_bas
"villa meublée,louer,lome,baguida",LOCATION,Villa,baguida,500000,0.0,600.0,,,immoask_scraped,prix_m2_trop_bas
"villa,louer,lomé,atiegou",LOCATION,Villa,attiégou,250000,3.0,300.0,,,immoask_scraped,prix_m2_trop_bas
"villa,louer,lome,atiegou ",LOCATION,Villa,attiégou,250000,0.0,300.0,,,immoask_scraped,prix_m2_trop_bas
"chambre salon,louer,lome,kagome",LOCATION,Chambre Salon,kagome,30000,0.0,50.0,,,immoask_scraped,prix_m2_trop_bas
"villa,louer,lome,adidogome ",LOCATION,Villa,adidogome,375000,0.0,400.0,,,immoask_scraped,prix_m2_trop_bas
"villa,louer,lome,segbe,akato-deme",LOCATION,Villa,segbe,140000,4.0,300.0,,,immoask_scraped,prix_m2_trop_bas
"boutique,louer,lome,lomegan",LOCATION,Boutique,lomégan,0,0.0,50.0,,,immoask_scraped,prix_m2_trop_bas
"terrain,bailler,lome,sagbado",BAILLER,Terrain,sagbado,75000,0.0,600.0,,,immoask_scraped,prix_m2_trop_bas
"terrain,bailler,lome,agoe",BAILLER,Terrain,agoe,75000,0.0,600.0,,,immoask_scraped,prix_m2_trop_bas
"terrain,bailler,lome,avedji",BAILLER,Terrain,avedji,150000,0.0,1200.0,,,immoask_scraped,prix_m2_trop_bas
"chambre,louer,lome,zanguera",LOCATION,Chambre,zanguera,15000,1.0,16.0,,,immoask_scraped,prix_m2_trop_bas
"chambre salon,louer,lome,carrefour minamadou",LOCATION,Chambre Salon,agoe,60000,0.0,64.0,,,immoask_scraped,prix_m2_trop_bas
"2 chambres salon,louer,lomé,segbe",LOCATION,Maison,segbe,35000,0.0,48.0,,,immoask_scraped,prix_m2_trop_bas
"2 chambres salon,louer,lome,segbe",LOCATION,Maison,segbe,45000,2.0,48.0,,,immoask_scraped,prix_m2_trop_bas
"villa meublée,louer,lome,lome madibar",LOCATION,Villa,adidogome,650000,11.0,1200.0,,,immoask_scraped,prix_m2_trop_bas
"villa,louer,lome,gbegnedji ",LOCATION,Villa,gbegnedji,80000,0.0,150.0,,,immoask_scraped,prix_m2_trop_bas
"villa,louer,lome,kagome ",LOCATION,Villa,kagome,100000,2.0,300.0,,,immoask_scraped,prix_m2_trop_bas
"villa,louer,lome,kagome ",LOCATION,Villa,kagome,100000,0.0,300.0,,,immoask_scraped,prix_m2_trop_bas
"villa,louer,lome, adidogome ",LOCATION,Villa,adidogome,350000,4.0,600.0,,,immoask_scraped,prix_m2_trop_bas
"villa,louer,lome,avenou",LOCATION,Villa,avenou,350000,0.0,600.0,,,immoask_scraped,prix_m2_trop_bas
"villa,louer,lome,avenou",LOCATION,Villa,avenou,350000,0.0,600.0,,,immoask_scraped,prix_m2_trop_bas
"villa,louer,lome,avenou",LOCATION,Villa,avenou,350000,0.0,600.0,,,immoask_scraped,prix_m2_trop_bas
"immeuble commercial,louer,lome,assivito",LOCATION,Appartement,assivito,0,0.0,1000.0,,,immoask_scraped,prix_m2_trop_bas
"villa,louer,lome,agoe",LOCATION,Villa,agoe,170000,3.0,300.0,,,immoask_scraped,prix_m2_trop_bas
"villa,louer,lome, agoe",LOCATION,Villa,agoe,200000,0.0,300.0,,,immoask_scraped,prix_m2_trop_bas
"villa,louer,lome,agoe",LOCATION,Villa,agoe,150000,0.0,200.0,,,immoask_scraped,prix_m2_trop_bas
"villa,louer,lome,adidogome ",LOCATION,Villa,adidogome,130000,3.0,300.0,,,immoask_scraped,prix_m2_trop_bas
"villa,louer,lome,kegue",LOCATION,Villa,kegue,180000,3.0,200.0,,,immoask_scraped,prix_m2_trop_bas
"chambre,louer,lome,avepozo",LOCATION,Chambre,avepozo,150000,0.0,1200.0,,,immoask_scraped,prix_m2_trop_bas
"villa,louer,lome,kagome",LOCATION,Villa,kagome,100000,0.0,600.0,,,immoask_scraped,prix_m2_trop_bas
"bureau,louer,lome,noukafou ",LOCATION,Bureau,noukafou,100000,5.0,120.0,,,immoask_scraped,prix_m2_trop_bas
"villa,louer,lome,be kpota",LOCATION,Villa,bè,250000,0.0,600.0,,,immoask_scraped,prix_m2_trop_bas
"villa,louer,lome,totsi",LOCATION,Villa,totsi,100000,2.0,120.0,,,immoask_scraped,prix_m2_trop_bas
"villa,louer,lome,agoe",LOCATION,Villa,agoe,80000,2.0,100.0,,,immoask_scraped,prix_m2_trop_bas
"appartement,louer,lome,agoe ",LOCATION,Appartement,agoe,300000,0.0,400.0,,,immoask_scraped,prix_m2_trop_bas
"appartement,louer,lome,agoe ",LOCATION,Appartement,agoe,70000,0.0,75.0,,,immoask_scraped,prix_m2_trop_bas
"chambre salon,louer,lome,agoe",LOCATION,Chambre Salon,agoe,45000,1.0,60.0,,,immoask_scraped,prix_m2_trop_bas
"appartement,louer,lome,agoe",LOCATION,Appartement,agoe,100000,3.0,120.0,,,immoask_scraped,prix_m2_trop_bas
"villa,louer,lome,agoe",LOCATION,Villa,agoe,300000,0.0,400.0,,,immoask_scraped,prix_m2_trop_bas
"villa,louer,lome,entreprise de l'union",LOCATION,Villa,leo 2000,200000,0.0,300.0,,,immoask_scraped,prix_m2_trop_bas
"villa,louer,lome,entreprise de l'union ",LOCATION,Villa,leo 2000,200000,0.0,300.0,,,immoask_scraped,prix_m2_trop_bas
"immeuble commercial,louer,lome,attiegou",LOCATION,Appartement,attiégou,250000,3.0,300.0,,,immoask_scraped,prix_m2_trop_bas
"villa,vendre,lome,amadahome ",VENTE,Villa,adidogome,0,3.0,10.0,,,immoask_scraped,prix_m2_trop_bas
"villa,louer,lome,agoe",LOCATION,Villa,agoe,130000,5.0,250.0,,,immoask_scraped,prix_m2_trop_bas
