titre,type_offre,type_bien,zone,prix,pieces,surface_m2,Valeur par piece,Valeur par m2,source,raison_rejet
"villa,louer,lome,kagome",LOCATION,Appartement,kagome,100000,3.0,300.0,33333.0,333.0,immoask,prix_m2_trop_bas
"villa,louer,lome, adidogome",LOCATION,Appartement,adidogome,350000,4.0,600.0,87500.0,583.0,immoask,prix_m2_trop_bas
"villa,louer,lome,avenou",LOCATION,Appartement,avenou,350000,3.0,600.0,116667.0,583.0,immoask,prix_m2_trop_bas
"villa,louer,lome,avenou",LOCATION,Appartement,avenou,350000,3.0,600.0,116667.0,583.0,immoask,prix_m2_trop_bas
"villa,louer,lome,avenou",LOCATION,Appartement,avenou,350000,3.0,600.0,116667.0,583.0,immoask,prix_m2_trop_bas
"villa,louer,lome,agoe",LOCATION,Appartement,agoe,170000,3.0,300.0,56667.0,567.0,immoask,prix_m2_trop_bas
"villa,louer,lome, agoe",LOCATION,Appartement,agoe,200000,3.0,300.0,66667.0,667.0,immoask,prix_m2_trop_bas
"villa,louer,lome,agoe",LOCATION,Appartement,agoe,150000,3.0,200.0,50000.0,750.0,immoask,prix_m2_trop_bas
"villa,louer,lome,adidogome",LOCATION,Appartement,adidogome,130000,3.0,300.0,43333.0,433.0,immoask,prix_m2_trop_bas
"villa,louer,lome,kegue",LOCATION,Appartement,kegue,180000,3.0,200.0,60000.0,900.0,immoask,prix_m2_trop_bas
"chambre,louer,lome,avepozo",LOCATION,Chambre,avepozo,150000,1.0,1200.0,150000.0,125.0,immoask,prix_m2_trop_bas
"villa,louer,lome,kagome",LOCATION,Appartement,kagome,100000,3.0,600.0,33333.0,167.0,immoask,prix_m2_trop_bas
"bureau,louer,lome,noukafou",LOCATION,Bureau,nukafu,100000,5.0,120.0,20000.0,833.0,immoask,prix_m2_trop_bas
"villa,louer,lome,be kpota",LOCATION,Appartement,be,250000,3.0,600.0,83333.0,417.0,immoask,prix_m2_trop_bas
"villa,louer,lome,totsi",LOCATION,Appartement,totsi,100000,2.0,120.0,50000.0,833.0,immoask,prix_m2_trop_bas
"villa,louer,lome,agoe",LOCATION,Appartement,agoe,80000,2.0,100.0,40000.0,800.0,immoask,prix_m2_trop_bas
"appartement,louer,lome,agoe",LOCATION,Appartement,agoe,300000,3.0,400.0,100000.0,750.0,immoask,prix_m2_trop_bas
"appartement,louer,lome,agoe",LOCATION,Appartement,agoe,70000,3.0,75.0,23333.0,933.0,immoask,prix_m2_trop_bas
"chambre salon,louer,lome,agoe",LOCATION,Chambre,agoe,45000,2.0,60.0,22500.0,750.0,immoask,prix_m2_trop_bas
"appartement,louer,lome,agoe",LOCATION,Appartement,agoe,100000,3.0,120.0,33333.0,833.0,immoask,prix_m2_trop_bas
"villa,louer,lome,agoe",LOCATION,Appartement,agoe,300000,3.0,400.0,100000.0,750.0,immoask,prix_m2_trop_bas
