source,reference,titre,offre,type_bien,localisation,prix,piece,surface,url
CoinAfrique,5758358,Location villa  dans la cité Oua,louer,Villa,DYNAMIQUE IMMOBILIERTogo3467 Annonces,2 000 000 000 CFA,,,https://tg.coinafrique.com/annonce/villas/location-villa-dans-la-cite-oua-5758358
CoinAfrique,5758354,Terrain 1 lot et demi à Adidogome,,Terrain,DYNAMIQUE IMMOBILIERTogo3467 Annonces,47 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-et-demi-a-adidogome-5758354
CoinAfrique,5780602,Terrain 1/ 2  lot  solidement clôturé - Vakpossito Mobossa,,Terrain,NAGOBA SERVICES TOGOTogo2886 Annonces,14 000 000 CFA,,2,https://tg.coinafrique.com/annonce/terrains/terrain-1-2-lot-solidement-cloture-vakpossito-mobossa-5780602
CoinAfrique,5758343,Terrain ½ lot à Avédji,,Terrain,DYNAMIQUE IMMOBILIERTogo3467 Annonces,33 000 000 CFA,,,https://tg.coinafrique.com/annonce/terrains/terrain-lot-a-avedji-5758343
CoinAfrique,5780597,Vente villa duplex 6 pièces à Baguida,vendre,Villa,NAGOBA SERVICES TOGOTogo2886 Annonces,85 000 000 CFA,6,,https://tg.coinafrique.com/annonce/villas/vente-villa-duplex-6-pieces-a-baguida-5780597
CoinAfrique,5780585,Terrain  4 lots collés à Akepé,,Terrain,NAGOBA SERVICES TOGOTogo2886 Annonces,7 000 000 CFA,,4,https://tg.coinafrique.com/annonce/terrains/terrain-4-lots-colles-a-akepe-5780585
CoinAfrique,5780586,Terrain 2 lots - Agoè,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,100 000 000 CFA,,2,https://tg.coinafrique.com/annonce/terrains/terrain-2-lots-agoe-5780586
CoinAfrique,5782558,Terrain 1/2 lot - Agoè,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,15 000 000 CFA,,2,https://tg.coinafrique.com/annonce/terrains/terrain-1-2-lot-agoe-5782558
CoinAfrique,5768371,Terrain 597m² au bord du boulevard jean paul 2,,Terrain,FRANCO IMMOBILIERTogo1397 Annonces,160 000 000 CFA,,597,https://tg.coinafrique.com/annonce/terrains/terrain-597m-au-bord-du-boulevard-jean-paul-2-5768371
CoinAfrique,5769990,Vente villa 3 pièces à zanguéra,vendre,Villa,DYNAMIQUE IMMOBILIERTogo3467 Annonces,55 000 000 CFA,3,,https://tg.coinafrique.com/annonce/villas/vente-villa-3-pieces-a-zanguera-5769990
CoinAfrique,5778829,Terrain 1/2 lot -  Amadahomè pharmacie,,Terrain,NAGOBA SERVICES TOGOTogo2886 Annonces,18 000 000 CFA,,2,https://tg.coinafrique.com/annonce/terrains/terrain-1-2-lot-amadahome-pharmacie-5778829
CoinAfrique,5780584,Terrain 3/4 lot - Lomé aneho,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,30 000 000 CFA,,4,https://tg.coinafrique.com/annonce/terrains/terrain-3-4-lot-lome-aneho-5780584
CoinAfrique,5782551,Terrain 1 lot - Legbassito,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,15 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-legbassito-5782551
CoinAfrique,5780581,Terrain 1 lot - Akodessewa,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,58 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-akodessewa-5780581
CoinAfrique,5780580,Terrain - Tsevié,,Terrain,NAGOBA SERVICES TOGOTogo2886 Annonces,3 500 000 CFA,,,https://tg.coinafrique.com/annonce/terrains/terrain-tsevie-5780580
CoinAfrique,5769970,Vente maison de location à Agoè koffi panou,vendre,,DYNAMIQUE IMMOBILIERTogo3467 Annonces,22 000 000 CFA,,,https://tg.coinafrique.com/annonce/villas/vente-maison-de-location-a-agoe-koffi-panou-5769970
CoinAfrique,5778818,Vente maison 9 pièces - Avédji,vendre,,NAGOBA SERVICES TOGOTogo2886 Annonces,18 000 000 CFA,9,,https://tg.coinafrique.com/annonce/villas/vente-maison-9-pieces-avedji-5778818
CoinAfrique,5798997,Terrain 1lot  - Akodessewo,,Terrain,2A ImmobilierTogo136 Annonces,85 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1lot-akodessewo-5798997
CoinAfrique,5798999,Terrain  1lot - Tokoin forever,,Terrain,2A ImmobilierTogo136 Annonces,81 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1lot-tokoin-forever-5798999
CoinAfrique,5777103,Location studio meublé  - Avedji,louer,Studio,AGB MOBILIER/ IMMOBILIERMembre depuis4 années309 Annonces,200 000 CFA,,,https://tg.coinafrique.com/annonce/appartements-meubles/location-studio-meuble-avedji-5777103
CoinAfrique,5780575,Terrain 2 lots - agoè,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,50 000 000 CFA,,2,https://tg.coinafrique.com/annonce/terrains/terrain-2-lots-agoe-5780575
CoinAfrique,5784699,Terrain 65lots - Bagbé,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,2 000 000 CFA,,65,https://tg.coinafrique.com/annonce/terrains/terrain-65lots-bagbe-5784699
CoinAfrique,5784697,Vente maison 3 pièces - Tokoin,vendre,,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,80 000 000 CFA,3,,https://tg.coinafrique.com/annonce/villas/vente-maison-3-pieces-tokoin-5784697
CoinAfrique,5777096,Location appartement - Adidogomé,louer,Appartement,AGB MOBILIER/ IMMOBILIERMembre depuis4 années309 Annonces,55 000 CFA,,,https://tg.coinafrique.com/annonce/appartements/location-appartement-adidogome-5777096
CoinAfrique,5777092,Location appartements - Adidogomé,louer,Appartement,AGB MOBILIER/ IMMOBILIERMembre depuis4 années309 Annonces,35 000 CFA,,,https://tg.coinafrique.com/annonce/chambres/location-appartements-adidogome-5777092
CoinAfrique,5782542,Terrain 3 lots - Baguida,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,170 000 000 CFA,,3,https://tg.coinafrique.com/annonce/terrains/terrain-3-lots-baguida-5782542
CoinAfrique,5782539,Terrain 4 lots - Agodeké,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,25 000 000 CFA,,4,https://tg.coinafrique.com/annonce/terrains/terrain-4-lots-agodeke-5782539
CoinAfrique,5780559,Location appartement 3 pièces - Agoè logopé tazo,louer,Appartement,NAGOBA SERVICES TOGOTogo2886 Annonces,70 000 CFA,3,,https://tg.coinafrique.com/annonce/appartements/location-appartement-3-pieces-agoe-logope-tazo-5780559
CoinAfrique,5782531,Vente  maison 3 pièces à Adidogomè hôtel nord sud,vendre,,NAGOBA SERVICES TOGOTogo2886 Annonces,18 000 000 CFA,3,,https://tg.coinafrique.com/annonce/villas/vente-maison-3-pieces-a-adidogome-hotel-nord-sud-5782531
CoinAfrique,5782526,Terrain 2 lots - Akato,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,23 000 000 CFA,,2,https://tg.coinafrique.com/annonce/terrains/terrain-2-lots-akato-5782526
CoinAfrique,5780567,Terrain à Agoè Assiyiyé,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,13 500 000 CFA,,,https://tg.coinafrique.com/annonce/terrains/terrain-a-agoe-assiyiye-5780567
CoinAfrique,5782533,Terrain 1/4 lot - Togo,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,8 500 000 CFA,,4,https://tg.coinafrique.com/annonce/terrains/terrain-1-4-lot-togo-5782533
CoinAfrique,5782536,Terrain 1 lot - Adidogomé,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,40 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-adidogome-5782536
CoinAfrique,5782530,Vente villa 4 pièces - Ségbé,vendre,Villa,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,130 000 000 CFA,4,,https://tg.coinafrique.com/annonce/villas/vente-villa-4-pieces-segbe-5782530
CoinAfrique,5782527,Terrain 4 lots - Baguida,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,60 000 000 CFA,,4,https://tg.coinafrique.com/annonce/terrains/terrain-4-lots-baguida-5782527
CoinAfrique,5778813,Location appartement 3 pièces - Adidogomè atilamonou,louer,Appartement,NAGOBA SERVICES TOGOTogo2886 Annonces,90 000 CFA,3,,https://tg.coinafrique.com/annonce/appartements/location-appartement-3-pieces-adidogome-atilamonou-5778813
CoinAfrique,5780560,Terrain 1/4 lot - Agoè Assiyiyé,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,11 500 000 CFA,,4,https://tg.coinafrique.com/annonce/terrains/terrain-1-4-lot-agoe-assiyiye-5780560
CoinAfrique,5778802,Location appartement 3 pièces - Adidogomè cap amadahomè,louer,Appartement,NAGOBA SERVICES TOGOTogo2886 Annonces,130 000 CFA,3,,https://tg.coinafrique.com/annonce/appartements/location-appartement-3-pieces-adidogome-cap-amadahome-5778802
CoinAfrique,5780563,Terrain 4 lots - Agoè Assiyiyé,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,98 000 000 CFA,,4,https://tg.coinafrique.com/annonce/terrains/terrain-4-lots-agoe-assiyiye-5780563
CoinAfrique,5780561,Terrain  122 lot - Agoè Demakpoé,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,12 000 000 CFA,,122,https://tg.coinafrique.com/annonce/terrains/terrain-122-lot-agoe-demakpoe-5780561
CoinAfrique,5784694,Terrain 1/2 lot - Agbalépédo,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,25 000 000 CFA,,2,https://tg.coinafrique.com/annonce/terrains/terrain-1-2-lot-agbalepedo-5784694
CoinAfrique,5784690,Parcelle 4 lots - Baguida,,,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,50 000 000 CFA,,4,https://tg.coinafrique.com/annonce/terrains/parcelle-4-lots-baguida-5784690
CoinAfrique,5796303,Terrain 1lot  - Zanguéra,,Terrain,2A ImmobilierTogo136 Annonces,18 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1lot-zanguera-5796303
CoinAfrique,5802712,Terrain  1/2 lot - Agoe assiyéyé,,Terrain,FRANCO IMMOBILIERTogo1397 Annonces,27 000 000 CFA,,2,https://tg.coinafrique.com/annonce/terrains/terrain-1-2-lot-agoe-assiyeye-5802712
CoinAfrique,5787597,Location appartement 3 pièces - Adidogome Logote,louer,Appartement,ECOM IMMO||Nelson IndustriesTogo354 Annonces,100 000 CFA,3,,https://tg.coinafrique.com/annonce/appartements/location-appartement-3-pieces-adidogome-logote-5787597
CoinAfrique,5782517,Terrain 1 lot - Adétikopé,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,18 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-adetikope-5782517
CoinAfrique,5789208,Terrain 1/2 lot  à Agbalepedo,,Terrain,2A ImmobilierTogo136 Annonces,25 000 000 CFA,,2,https://tg.coinafrique.com/annonce/terrains/terrain-1-2-lot-a-agbalepedo-5789208
CoinAfrique,5782520,Terrain 150 m² - Kpala,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,6 000 000 CFA,,150,https://tg.coinafrique.com/annonce/terrains/terrain-150-m-kpala-5782520
CoinAfrique,5780553,Terrain 1 lot - Nukafu,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,60 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-nukafu-5780553
CoinAfrique,5766727,Terrain  1 lot à Dekon au bord du goudron,,Terrain,FRANCO IMMOBILIERTogo1397 Annonces,600 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-a-dekon-au-bord-du-goudron-5766727
CoinAfrique,5780552,Terrain 2 lots - Agoè,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,50 000 000 CFA,,2,https://tg.coinafrique.com/annonce/terrains/terrain-2-lots-agoe-5780552
CoinAfrique,5782525,Terrain 1 lot - Agoè,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,55 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-agoe-5782525
CoinAfrique,5782523,Terrain 1/2 lot - Akepe,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,4 200 000 CFA,,2,https://tg.coinafrique.com/annonce/terrains/terrain-1-2-lot-akepe-5782523
CoinAfrique,5775524,Location villa meublée 03 pièces à cito aéroport,louer,Villa,IMMO-HOUSE SARL-UTogo1828 Annonces,500 000 CFA,03,,https://tg.coinafrique.com/annonce/villas/location-villa-meublee-03-pieces-a-cito-aeroport-5775524
CoinAfrique,5775529,Vente entrepôt à agoè fiovi,vendre,,IMMO-HOUSE SARL-UTogo1828 Annonces,85 000 000 CFA,,,https://tg.coinafrique.com/annonce/bureaux-et-commerces/vente-entrepot-a-agoe-fiovi-5775529
CoinAfrique,5780551,Terrain 1 lot - Agoè,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,20 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-agoe-5780551
CoinAfrique,5780549,Terrain 1 lot - Agoè,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,32 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-agoe-5780549
CoinAfrique,5780548,Location appartement - kégué Oqueens,louer,Appartement,NAGOBA SERVICES TOGOTogo2886 Annonces,75 000 CFA,,,https://tg.coinafrique.com/annonce/appartements/location-appartement-kegue-oqueens-5780548
CoinAfrique,5753958,"Location à Vakpo NDE Chic appartement nouvelle construction dallé staffé lumineux avec chauffe eau, d'une Chambre salon wc douche cuisine interne avec armoire de rangement + balcon bien clean , dispon",louer,Appartement,NAGOBA SERVICES TOGOTogo2886 Annonces,65 000 CFA,,,https://tg.coinafrique.com/annonce/appartements/location-a-vakpo-nde-chic-appartement-nouvelle-construction-dalle-staffe-lumineux-avec-chauffe-eau-dune-chambre-salon-wc-douche-cuisine-interne-avec-armoire-de-rangement-balcon-bien-clean-dispon-5753958
CoinAfrique,5778796,Terrain  1/2 lot - Djagblé,,Terrain,FRANCO IMMOBILIERTogo1397 Annonces,6 000 000 CFA,,2,https://tg.coinafrique.com/annonce/terrains/terrain-1-2-lot-djagble-5778796
CoinAfrique,5769924,Location villa duplex 05 pièces Gnekonakpoé,louer,Villa,FRANCO IMMOBILIERTogo1397 Annonces,800 000 CFA,05,,https://tg.coinafrique.com/annonce/villas/location-villa-duplex-05-pieces-gnekonakpoe-5769924
CoinAfrique,5780538,Terrain 1 lot - Agoè Assiyiyé,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,45 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-agoe-assiyiye-5780538
CoinAfrique,5780555,Terrain 1/2 lot - Agoè,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,17 000 000 CFA,,2,https://tg.coinafrique.com/annonce/terrains/terrain-1-2-lot-agoe-5780555
CoinAfrique,5782515,Terrain 1 lot - Zanguéra,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,22 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-zanguera-5782515
CoinAfrique,5780541,Terrain 1 lot - Totsi,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,45 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-totsi-5780541
CoinAfrique,5778792,Terrain 1 lot à Agoè cacaveli,,Terrain,DYNAMIQUE IMMOBILIERTogo3467 Annonces,55 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-a-agoe-cacaveli-5778792
CoinAfrique,5778794,Terrain 4 lots  à Baguida,,Terrain,DYNAMIQUE IMMOBILIERTogo3467 Annonces,60 000 000 CFA,,4,https://tg.coinafrique.com/annonce/terrains/terrain-4-lots-a-baguida-5778794
CoinAfrique,5787576,Vente villa duplex 5 pièces -   Avenou,vendre,Villa,2A ImmobilierTogo136 Annonces,165 000 000 CFA,5,,https://tg.coinafrique.com/annonce/villas/vente-villa-duplex-5-pieces-avenou-5787576
CoinAfrique,5780530,Terrain 1 lot - Agoè,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,55 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-agoe-5780530
CoinAfrique,5769917,Location appartements 02 pièces Totsi,louer,Appartement,FRANCO IMMOBILIERTogo1397 Annonces,150 000 CFA,02,,https://tg.coinafrique.com/annonce/appartements/location-appartements-02-pieces-totsi-5769917
CoinAfrique,5775515,Location appartement de 02 pièces à wonyome au bord du goudron,louer,Appartement,IMMO-HOUSE SARL-UTogo1828 Annonces,80 000 CFA,02,,https://tg.coinafrique.com/annonce/appartements/location-appartement-de-02-pieces-a-wonyome-au-bord-du-goudron-5775515
CoinAfrique,5780535,Terrain 2 lots clôturé - feux voies complexe scolaires Kouvahey,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,60 000 000 CFA,,2,https://tg.coinafrique.com/annonce/terrains/terrain-2-lots-cloture-feux-voies-complexe-scolaires-kouvahey-5780535
CoinAfrique,5780532,Terrain 1 lot - Assiyiyé,,Terrain,PASCAL-GROUP IMMOBILIERTogo2264 Annonces,38 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-assiyiye-5780532
CoinAfrique,5780531,Terrain 1/2 lot - Agoè demakpoè,,Terrain,NAGOBA SERVICES TOGOTogo2886 Annonces,14 000 000 CFA,,2,https://tg.coinafrique.com/annonce/terrains/terrain-1-2-lot-agoe-demakpoe-5780531
