source,reference,titre,offre,type_bien,localisation,prix,piece,surface,url
CoinAfrique,5799368,Vente villa duplex  7 pièces - Kodjoviakopé,vendre,Villa,2A ImmobilierTogo136 Annonces,150 000 000 CFA,7,,https://tg.coinafrique.com/annonce/villas/vente-villa-duplex-7-pieces-kodjoviakope-5799368
CoinAfrique,5787883,Terrain 1lot  - Tokoin,,Terrain,2A ImmobilierTogo136 Annonces,85 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1lot-tokoin-5787883
CoinAfrique,5803101,Location villa 5 pièces - Forever,louer,Villa,Premier venu Premier ServiTogo438 Annonces,1 500 000 CFA,5,,https://tg.coinafrique.com/annonce/villas/location-villa-5-pieces-forever-5803101
CoinAfrique,5783082,Terrain 1 lot  à Agoè assiyeye,,Terrain,ECOM IMMO||Nelson IndustriesTogo354 Annonces,42 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-a-agoe-assiyeye-5783082
CoinAfrique,5785148,Vente villa triplex  6pièces  - Djidjole,vendre,Villa,2A ImmobilierTogo136 Annonces,300 000 000 CFA,6,,https://tg.coinafrique.com/annonce/villas/vente-villa-triplex-6pieces-djidjole-5785148
CoinAfrique,5798092,Terrain  1lot - Akodessewo,,Terrain,2A ImmobilierTogo136 Annonces,40 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1lot-akodessewo-5798092
CoinAfrique,5783010,Vente villa duplex 4 pièces à Hedranawoe,vendre,Villa,2A ImmobilierTogo136 Annonces,160 000 000 CFA,4,,https://tg.coinafrique.com/annonce/villas/vente-villa-duplex-4-pieces-a-hedranawoe-5783010
CoinAfrique,5798083,Terrain 3 lots collés  -Aadewui,,Terrain,2A ImmobilierTogo136 Annonces,450 000 000 CFA,,3,https://tg.coinafrique.com/annonce/terrains/terrain-3-lots-colles-aadewui-5798083
CoinAfrique,5799325,Terrain 1/2 lot -  Zanguéra akepedo,,Terrain,2A ImmobilierTogo136 Annonces,9 000 000 CFA,,2,https://tg.coinafrique.com/annonce/terrains/terrain-1-2-lot-zanguera-akepedo-5799325
CoinAfrique,5798089,Terrain 1lot  - Agoe legbassito,,Terrain,2A ImmobilierTogo136 Annonces,23 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1lot-agoe-legbassito-5798089
CoinAfrique,5772203,Terrain 1 lot 1/4 lot - djidjolé,,Terrain,FRANCO IMMOBILIERTogo1397 Annonces,40 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1-lot-1-4-lot-djidjole-5772203
CoinAfrique,5798077,Terrain  10 lots collés - Agoe,,Terrain,2A ImmobilierTogo136 Annonces,150 000 000 CFA,,10,https://tg.coinafrique.com/annonce/terrains/terrain-10-lots-colles-agoe-5798077
CoinAfrique,5772200,Terrain  1/4 lot - Agoe assiyéyé,,Terrain,FRANCO IMMOBILIERTogo1397 Annonces,15 000 000 CFA,,4,https://tg.coinafrique.com/annonce/terrains/terrain-1-4-lot-agoe-assiyeye-5772200
CoinAfrique,5775823,Location entrepôt avec des bureaux - Agoè ccl,louer,Bureau,IMMO-HOUSE SARL-UTogo1828 Annonces,800 000 CFA,,,https://tg.coinafrique.com/annonce/bureaux-et-commerces/location-entrepot-avec-des-bureaux-agoe-ccl-5775823
CoinAfrique,5798065,Terrain 1lot  - Baguida,,Terrain,2A ImmobilierTogo136 Annonces,45 000 000 CFA,,1,https://tg.coinafrique.com/annonce/terrains/terrain-1lot-baguida-5798065
CoinAfrique,5768640,Vente villa de 04 pièces hédzranawoé,vendre,Villa,FRANCO IMMOBILIERTogo1397 Annonces,160 000 000 CFA,04,,https://tg.coinafrique.com/annonce/villas/vente-villa-de-04-pieces-hedzranawoe-5768640
